,nodes,cores,topo,batch_size,wait,joblen,jobs,throughput,makespan,type
0,8,320,"(1,)",128,5,0,64.0,7.1746473541262645,8.920299053192139,model
1,8,320,"(1,)",128,5,0,64.0,7.454599970657638,8.58530306816101,model
2,8,320,"(1,)",128,5,0,64.0,7.1355432732676505,8.969183921813965,model
3,8,320,"(1,)",1024,10,0,1024.0,23.374523381267508,43.808379888534546,model
4,8,320,"(1,)",1024,10,0,1024.0,22.558451907175638,45.39318585395813,model
5,8,320,"(1,)",1024,10,0,1024.0,23.79594665789063,43.03253889083862,model
6,8,320,"(1,)",512,10,0,32.0,3.6903965030000445,8.671154975891113,model
7,8,320,"(1,)",512,10,0,32.0,3.6579756160810297,8.748008012771606,model
8,8,320,"(1,)",512,10,0,32.0,3.9553349020363187,8.090338945388794,model
9,8,320,"(1,)",512,10,0,16.0,2.1001837464995563,7.618381023406982,model
10,8,320,"(1,)",512,10,0,16.0,2.0175155542379803,7.930546045303345,model
11,8,320,"(1,)",512,10,0,16.0,2.007263779773085,7.971050024032593,model
12,8,320,"(1,)",512,10,0,256.0,17.402430397770967,14.710588932037354,model
13,8,320,"(1,)",512,10,0,256.0,16.226419323427134,15.776740074157715,model
14,8,320,"(1,)",512,10,0,256.0,17.179659729588575,14.901342868804932,model
15,8,320,"(1,)",16,0,0,2.0,0.2667622039473747,7.497313976287842,model
16,8,320,"(1,)",16,0,0,2.0,0.2733613665930608,7.3163228034973145,model
17,8,320,"(1,)",16,0,0,2.0,0.2626800561157665,7.613825082778931,model
18,8,320,"(1,)",1,0,5,32.0,2.3705889951870684,13.498754978179932,model
19,8,320,"(1,)",1,0,5,32.0,2.4537210719450804,13.041417121887207,model
20,8,320,"(1,)",1,0,5,32.0,2.346272382745841,13.638655185699463,model
21,8,320,"(1,)",512,10,5,256.0,14.672356227270742,17.447777032852173,model
22,8,320,"(1,)",512,10,5,256.0,15.032575878475773,17.029682874679565,model
23,8,320,"(1,)",512,10,5,256.0,14.270290138106494,17.939368963241577,model
24,8,320,"(1,)",16,0,0,8.0,1.0826528363532293,7.389256954193115,model
25,8,320,"(1,)",16,0,0,8.0,1.0562422724284275,7.574019908905029,model
26,8,320,"(1,)",16,0,0,8.0,1.0363933260020122,7.719077110290527,model
27,8,320,"(1,)",1,10,0,4.0,0.08160749112587722,49.01510810852051,model
28,8,320,"(1,)",1,10,0,4.0,0.08140460392155432,49.13726997375488,model
29,8,320,"(1,)",1,10,0,4.0,0.08218467075614518,48.67087697982788,model
30,8,320,"(1,)",32,5,5,128.0,4.086433427140672,31.323158025741577,model
31,8,320,"(1,)",32,5,5,128.0,4.086451156609399,31.32302212715149,model
32,8,320,"(1,)",32,5,5,128.0,4.092176166836658,31.279200792312622,model
33,8,320,"(1,)",1024,10,5,256.0,14.693230770540236,17.42298913002014,model
34,8,320,"(1,)",1024,10,5,256.0,14.587906920959245,17.548782110214233,model
35,8,320,"(1,)",1024,10,5,256.0,14.60383911910223,17.529637098312378,model
36,8,320,"(1,)",8,10,0,32.0,0.6488724760339399,49.31631588935852,model
37,8,320,"(1,)",8,10,0,32.0,0.645994219356051,49.53604698181152,model
38,8,320,"(1,)",8,10,0,32.0,0.6488218212401331,49.32016611099243,model
39,8,320,"(1,)",128,0,5,32.0,2.4564537698537654,13.026909112930298,model
40,8,320,"(1,)",128,0,5,32.0,2.4038748639984147,13.311841011047363,model
41,8,320,"(1,)",128,0,5,32.0,2.4552735593678165,13.033170938491821,model
42,8,320,"(1,)",8,5,0,8.0,0.6557403934653577,12.199949979782104,model
43,8,320,"(1,)",8,5,0,8.0,0.6440404482290296,12.421580076217651,model
44,8,320,"(1,)",8,5,0,8.0,0.644979595098964,12.403493165969849,model
45,8,320,"(1,)",512,5,0,16.0,2.114929769181967,7.565263032913208,model
46,8,320,"(1,)",512,5,0,16.0,1.9161296073618084,8.350165843963623,model
47,8,320,"(1,)",512,5,0,16.0,2.0515369102377337,7.799031019210815,model
48,8,320,"(1,)",512,0,0,256.0,19.241053321428012,13.304884910583496,model
49,8,320,"(1,)",512,0,0,256.0,18.976745652533644,13.490195035934448,model
50,8,320,"(1,)",512,0,0,256.0,18.93658229184424,13.51880693435669,model
51,8,320,"(1,)",16,0,5,256.0,14.828460016346439,17.26409888267517,model
52,8,320,"(1,)",16,0,5,256.0,13.430491875325462,19.06110382080078,model
53,8,320,"(1,)",16,0,5,256.0,13.613301572989513,18.805136919021606,model
54,8,320,"(1,)",16,5,5,16.0,1.1304035839874602,14.154236793518066,model
55,8,320,"(1,)",16,5,5,16.0,1.1605455026276053,13.786620140075684,model
56,8,320,"(1,)",16,5,5,16.0,1.1930135545415708,13.411415100097656,model
57,8,320,"(1,)",8,5,5,512.0,1.395922918370877,366.782429933548,model
58,8,320,"(1,)",8,5,5,512.0,1.3994177006955364,365.8664598464966,model
59,8,320,"(1,)",8,5,5,512.0,1.3950681735672703,367.0071539878845,model
60,8,320,"(1,)",1,0,5,256.0,14.526696978031678,17.62272596359253,model
61,8,320,"(1,)",1,0,5,256.0,14.392254001097184,17.78734588623047,model
62,8,320,"(1,)",1,0,5,256.0,14.404431020508081,17.772309064865112,model
63,8,320,"(1,)",512,5,5,16.0,1.2364305666433724,12.940475940704346,model
64,8,320,"(1,)",512,5,5,16.0,1.1346570591886265,14.101176977157593,model
65,8,320,"(1,)",512,5,5,16.0,1.1624830253991683,13.763641834259033,model
66,8,320,"(1,)",128,0,5,64.0,4.851538072404521,13.19169282913208,model
67,8,320,"(1,)",128,0,5,64.0,4.509654711914638,14.191773891448975,model
68,8,320,"(1,)",128,0,5,64.0,4.585820503430275,13.956063032150269,model
69,8,320,"(1,)",1,10,5,32.0,0.0936720093343176,341.617525100708,model
70,8,320,"(1,)",1,10,5,32.0,0.09366319183485489,341.64968514442444,model
71,8,320,"(1,)",1,10,5,32.0,0.09386859466036784,340.90208888053894,model
72,8,320,"(1,)",8,0,0,8.0,1.072934290735421,7.456188201904297,model
73,8,320,"(1,)",8,0,0,8.0,1.0812197473669816,7.399050951004028,model
74,8,320,"(1,)",8,0,0,8.0,1.022447825101938,7.824360132217407,model
75,8,320,"(1,)",512,10,0,64.0,7.424282144755542,8.620362043380737,model
76,8,320,"(1,)",512,10,0,64.0,7.616051233025918,8.403304815292358,model
77,8,320,"(1,)",512,10,0,64.0,5.349517831768885,11.963695049285889,model
78,8,320,"(1,)",16,10,0,16.0,0.8548964997211062,18.715715885162354,model
79,8,320,"(1,)",16,10,0,16.0,0.8438113568495004,18.961584091186523,model
80,8,320,"(1,)",16,10,0,16.0,0.8359300293172138,19.140357971191406,model
81,8,320,"(1,)",16,5,5,64.0,2.0855304791640994,30.687635898590088,model
82,8,320,"(1,)",16,5,5,64.0,2.0870486464178937,30.665313005447388,model
83,8,320,"(1,)",16,5,5,64.0,2.0753513421172705,30.838151931762695,model
84,8,320,"(1,)",1,0,5,2.0,0.15846978999419686,12.620702028274536,model
85,8,320,"(1,)",1,0,5,2.0,0.1634666033269746,12.234915018081665,model
86,8,320,"(1,)",1,0,5,2.0,0.1568615014080609,12.750101089477539,model
87,8,320,"(1,)",1,0,0,8.0,0.8128674529533036,9.841702938079834,model
88,8,320,"(1,)",1,0,0,8.0,1.0134538387747207,7.893798112869263,model
89,8,320,"(1,)",1,0,0,8.0,1.0630020001439535,7.525856018066406,model
90,8,320,"(1,)",16,0,0,1024.0,29.51192089354229,34.697843074798584,model
91,8,320,"(1,)",16,0,0,1024.0,29.725689360595762,34.448318004608154,model
92,8,320,"(1,)",16,0,0,1024.0,28.568806922284605,35.84328889846802,model
93,8,320,"(1,)",32,0,5,256.0,13.938071369543838,18.366960048675537,model
94,8,320,"(1,)",32,0,5,256.0,14.197635044073563,18.031172037124634,model
95,8,320,"(1,)",32,0,5,256.0,14.707121743200371,17.406533002853394,model
96,8,320,"(1,)",8,10,5,1.0,0.07012993596868572,14.259245872497559,model
97,8,320,"(1,)",8,10,5,1.0,0.07201300865180284,13.886379957199097,model
98,8,320,"(1,)",8,10,5,1.0,0.08157204424875142,12.259101867675781,model
99,8,320,"(1,)",8,0,5,16.0,1.2640500143575986,12.657727003097534,model
100,8,320,"(1,)",8,0,5,16.0,1.2351668917987082,12.953715085983276,model
